SO	Freq	FI
JOURNAL OF SEDIMENTARY ENVIRONMENTS	2	2.481
JOURNAL OF WATER PROCESS ENGINEERING	2	7.34
MOLECULAR PHYLOGENETICS AND EVOLUTION	2	5.019
NATURE COMMUNICATIONS	2	17.694
NATUREZA & CONSERVACAO	2	0.69
NEW BIOTECHNOLOGY	2	6.49
OECOLOGIA	2	3.645
OPTICAL MATERIALS	2	3.754
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	2	3.565
PHYSICAL REVIEW C	2	3.09
PHYTOCHEMISTRY	2	4.004
QUATERNARY SCIENCE REVIEWS	2	4.456
REPRODUCTIVE TOXICOLOGY	2	3.421
REVIEWS IN FISH BIOLOGY AND FISHERIES	2	6.652
REVISTA BRASILEIRA DE POLITICA INTERNACIONAL	2	0.246
REVISTA MEXICANA DE INGENIERIA QUIMICA	2	2.093
SEPARATION AND PURIFICATION REVIEWS	2	7.889
TOXICOLOGY	2	4.571
ZOOKEYS	2	1.496
ZOOLOGIA	2	0.859
2016 38TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	1	0
2018 13TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRY APPLICATIONS (INDUSCON)	1	0
27TH INTERNATIONAL NUCLEAR PHYSICS CONFERENCE (INPC2019)	1	0
ACS APPLIED NANO MATERIALS	1	6.14
ACS MEDICINAL CHEMISTRY LETTERS	1	4.632
ACTA AMAZONICA	1	1.091
ACTA BOTANICA BRASILICA	1	1.395
ADVANCES IN MARINE BIOLOGY VOL 76	1	3.172
ADVANCES IN METEOROLOGY	1	2.223
ALGAE	1	2.839
AMERICAN ANTHROPOLOGIST	1	3.139
ANALYTICAL AND BIOANALYTICAL CHEMISTRY	1	2.228
ANALYTICAL METHODS	1	3.532
ANIMAL MICROBIOME	1	9.133
ANIMALS	1	3.231
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY	1	0.944
ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY	1	2.47
ANTIQUITY	1	2.024
APPLIED CATALYSIS A-GENERAL	1	5.723
APPLIED CATALYSIS B-ENVIRONMENTAL	1	24.319
APPLIED SPECTROSCOPY	1	3.588
AQUATIC ECOLOGY	1	2.218
ARQUIVOS BRASILEROS DE PSICOLOGIA	1	0.128
BIOCHEMICAL ENGINEERING JOURNAL	1	4.446
BIOCHIMIE	1	4.079
BIODEGRADATION	1	3.731
BIODIVERSITY AND CONSERVATION	1	4.296
BIOLOGICAL INVASIONS	1	3.606
BIOMED RESEARCH INTERNATIONAL	1	2.583
BIOMEDICINE & PHARMACOTHERAPY	1	7.419
BIOPROCESS AND BIOSYSTEMS ENGINEERING	1	3.434
BIORESOURCE TECHNOLOGY	1	11.889
BIOTECHNOLOGY AND BIOENGINEERING	1	4.395
BRAZILIAN JOURNAL OF GEOLOGY	1	2.253
BRITISH JOURNAL OF PHARMACOLOGY	1	9.473
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES	1	3.102
CASE STUDIES IN THERMAL ENGINEERING	1	6.268
CATALYSIS TODAY	1	6.562
CATALYSTS	1	4.501
CELL BIOLOGY INTERNATIONAL	1	4.473
CHEMELECTROCHEM	1	4.59
CHEMICAL COMMUNICATIONS	1	6.065
CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION	1	4.264
CLINICS	1	1.591
COLLOIDS AND INTERFACES	1	5.633
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY	1	4.52
